,Better Diets and Nutrition.pdf,Breeding For Tomorrow.pdf,Capacity Sharing.pdf,Climate Action.pdf,Digital Transformation.pdf,Food Frontiers and Security.pdf,Gender Equality and Inclusion.pdf,Genebanks.pdf,Multifunctional Landscapes.pdf,Policy Innovations.pdf,Scaling for Impact.pdf,Sustainable Animal and Aquatic Foods.pdf,Sustainable Farming.pdf
"DAI - STRENGTHEN “AGUA DE HONDURAS” PLATFORM FOR IMPROVED ACCESS, DATA INTEGRATION, AND COUNTRY CAPACITIES IN WATER RESOURCES PLANNING",0.42298496,0.36788076,0.63739645,0.5508888,0.46298,0.48732576,0.45693251,0.42437708,0.53316516,0.58879584,0.6155533,0.56262475,0.6156481
BMZ - COMPENSACTION - PAYMENT FOR ECOSYSTEM SERVICES,0.51141113,0.47135177,0.51622015,0.56424016,0.31623062,0.5612397,0.40790504,0.4154558,0.59445274,0.5684888,0.5635281,0.5624397,0.6232883
"TECHNOSERV-Maximizando Oportunidades en Café y Cacao en las Americas (“Maximizing Opportunities in Coffee and Cacao in the Americas,” or MOCCA)",0.37767404,0.3225687,0.42110604,0.3202086,0.2601751,0.39540958,0.2450707,0.32167923,0.35613078,0.38695556,0.41527948,0.38672858,0.3916286
IFAD-Alianza de Aprendizaje para fortalecer las capacidades para la evaluación participativa y mejora en cadenas de valor y alianzas comerciales inclusivas a lo interno del proyecto FIDA PROINORTE en Honduras,0.46767685,0.47399756,0.54115385,0.509255,0.39991662,0.55469,0.47943982,0.3729082,0.54868066,0.51381105,0.6085153,0.5825775,0.5823654
NUIG - Climate-resilient agroecological transitions of agri-food systems (EcoFoodSystems),0.6613777,0.47108287,0.45959002,0.5144684,0.35559398,0.63155407,0.3603754,0.46118045,0.45091343,0.554265,0.48042643,0.55603856,0.5698695
IUCN (KFW) - Desarrollo de acciones de restauración e implementación de actividades económicas productivas sostenibles para el mejoramiento de conectividad con la Reserva Biológica Indio y Maíz.,0.26585382,0.32032788,0.3230099,0.34723508,0.24056394,0.38839552,0.2304414,0.39692056,0.48441616,0.3451453,0.3605701,0.39042714,0.43149802
FRANCE – FFEM Promover Oportunidades Sostenibles en la Cadena de Valor del Cacao de Excelencia (IA Lead of A1537),0.36708477,0.37225884,0.42600417,0.34920117,0.27250326,0.4154015,0.21902871,0.3971062,0.51428986,0.4179644,0.45366,0.37672025,0.47358006
USDA-USA-Cacao Research and Technology Transfer,0.31672323,0.2676939,0.24601156,0.16985719,0.09772506,0.31927115,0.11314999,0.21266113,0.19217524,0.21920468,0.1890544,0.2754854,0.21554017
Rockefeller Foundation-Advancing translation and impact of the Periodic Table of Food Initiative (PTFI),0.7242122,0.48431656,0.49249807,0.4861309,0.36807817,0.61455065,0.34377927,0.5065635,0.5116551,0.55580944,0.46620882,0.6067425,0.6451007
Clifford Chance-Sustainable School Feeding Innovations in Kigali,0.60382354,0.46110144,0.44967178,0.43345103,0.34692836,0.5911525,0.33188316,0.36045828,0.39705586,0.4616608,0.4384325,0.6120343,0.5660216
AGRA-Developing and deploy drought tolerant high  iron bean varieties (HIB) that fit the Legume-Rice crop rotation in Ghana,0.4189058,0.4889249,0.38320214,0.36601883,0.22282489,0.42963356,0.27100748,0.42325297,0.42917895,0.3640284,0.35664284,0.3674442,0.54906875
COLOMBIA-FSD-Restauracion integral con enfoque de cadena de valor,0.522594,0.4783645,0.4679779,0.4955333,0.290749,0.5899418,0.4116821,0.42734495,0.55129373,0.6172405,0.5301023,0.53335464,0.56195605
EC - Nexus Framework for biodiversity-relevant transformative change - BIOTRAILS,0.4782874,0.44441205,0.47632384,0.49957016,0.42592028,0.4992414,0.34074345,0.49599254,0.5511278,0.5392529,0.5338667,0.5412427,0.5129227
YUS159- USAID SERVIR West Africa 2 Activity,0.37015676,0.3660431,0.40508842,0.4962157,0.33551258,0.53454846,0.3489155,0.39698288,0.4988766,0.49651712,0.4086494,0.44304127,0.47749075
YBH02- Sustainable Intensification and Diversification in South Bihar,0.3787765,0.48253462,0.4967351,0.4022392,0.27866054,0.461955,0.31854007,0.418352,0.51748353,0.49649438,0.48803002,0.37118837,0.58910877
YBH01- Bihar Centre Of Excellence For Millets Value Chain (BCoEMVC),0.38652003,0.42203185,0.393573,0.27303413,0.1384966,0.43103912,0.17898785,0.34982476,0.35424417,0.34706503,0.33870322,0.3561599,0.4877313
YOR24- Enhancing groundnut productivity through increased quality seed access in Odisha,0.27760777,0.36016548,0.2891734,0.113148645,0.0769965,0.24294703,0.13339072,0.23566349,0.20211148,0.23804726,0.19321367,0.22195274,0.29473916
"YUP03- Building Community Resilience by Alleviating Water scarcity and Land Degradation through Integrated Natural Resource Management in Bundelkhand, Uttar Pradesh",0.3207227,0.35876545,0.4465301,0.39439008,0.27715692,0.41777313,0.33186686,0.35035357,0.4372611,0.40863314,0.3888263,0.41254556,0.5689651
"YOR30- MILLETS in upland regions of Odisha for crop diversification, climate resilience and enhanced Food and Nutritional Security",0.27152845,0.3540929,0.23465589,0.15818359,-0.023681019,0.29689074,0.16113146,0.23981045,0.29534936,0.19752245,0.15378883,0.2202024,0.39822987
"YMH05- Landscape resource management for augmenting groundwater recharge and sustainable intensification of farming systems and building resilience for improved livelihoods of farmers in dryland of Maharashtra, India",0.33039418,0.3908036,0.5256694,0.43966952,0.4048133,0.37517938,0.28071806,0.31829917,0.48008704,0.45584977,0.45019993,0.3407217,0.60278374
YOR16- Developing and introducing high-yielding climate-resilient pigeon pea cultivars for intensification and diversification of cropping systems and to satisfy the nutritional requirement of small holder farmers of Odisha,0.23046258,0.50452524,0.20566297,0.1440822,0.045823064,0.21623452,0.07709516,0.3338498,0.19787353,0.13836996,0.13402249,0.19024883,0.3577082
"YMCF01- Scaling Commercialization of Drought Tolerant Crops (DTC) Technologies to Secure Dignified and Fulfilling Work for 120,000 Youth in Rural Kenya",0.37687856,0.45673642,0.4606749,0.49509528,0.3618116,0.54091555,0.42281222,0.40193734,0.4538903,0.42865375,0.451524,0.4601005,0.57684356
"YOR22- Transforming Agri-Marketing through effectively operationalizing RMCs (including PHM & Primary Processing centres), Develop Market Linkages, and Empower Women SHGs through Supply Chain Management in Odisha",0.3841823,0.3990291,0.36268473,0.24450047,0.2469884,0.29375935,0.18220542,0.27808067,0.3101454,0.3057594,0.31713125,0.34350932,0.40449753
YOR31- Technology Interventions to increase Sesame area and productivity in Odisha,0.31476784,0.45168966,0.35619953,0.19309342,0.15497656,0.34184903,0.19860508,0.32065657,0.28390643,0.32007954,0.30639064,0.29936257,0.45148936
YOR25- Increased productivity of Non-ragi Millets and Groundnut in Odisha through technology Interventions,0.36069688,0.3943471,0.3357701,0.21238801,0.08621463,0.3532502,0.2110709,0.23548475,0.31540796,0.27975312,0.24762778,0.33360803,0.4545881
YDB57- Tackling emerging diseases and insect pests problem in rice through innovative genomic approaches,0.10125919,0.28268257,0.058644194,0.05569453,0.08816228,0.16838554,0.048723083,0.40105885,0.17555185,0.08083211,0.075766146,0.08630065,0.24402867
YIN76- Enhancing pigeonpea production and productivity in India by promoting high-yielding early-maturing varieties and hybrids,0.1583052,0.4133631,0.16970505,0.04747432,0.0042457758,0.12235665,0.034383815,0.24183184,0.13480172,0.055387285,0.13196471,0.15721396,0.20054516
YCA08- “Community-based adaptation: Scaling-up community action for livelihoods and ecosystems in Southern Africa and beyond (CBA SCALE Southern Africa+),0.39706516,0.29476336,0.38229084,0.56267047,0.25746474,0.51217586,0.40494823,0.3007006,0.5347752,0.47141847,0.47585508,0.4535326,0.4924849
"YFA85- Harnessing genetic resources for farming diversification to enhance income, food, and nutrition security in Southern Africa",0.45298097,0.58635694,0.42728236,0.335428,0.1910916,0.507531,0.3310891,0.5394747,0.522527,0.36337826,0.3645608,0.47083768,0.5247981
"YAU44- Circular Food Systems in Africa, as further described in the Project Document",0.46869162,0.4885802,0.462525,0.46775454,0.22837017,0.53398293,0.3105234,0.30947807,0.47957626,0.47184864,0.41656587,0.521471,0.5858538
YNNF02- Developing High Sorgoleone Sorghums for Climate Resilience and Sustainable Agricultural Ecosystems,0.3094854,0.42970952,0.31962016,0.35645092,0.16632602,0.35032186,0.25147903,0.37120217,0.37485108,0.32689795,0.2510643,0.28153569,0.40207374
YOR27- Development and Validation of Carbon Standards for Incentivizing Farmers for Regenerative Agricultural Practices (CSIFRA),0.44502077,0.44112048,0.45711395,0.44380367,0.32120833,0.47971073,0.2958374,0.47125694,0.4714655,0.43228784,0.44707915,0.42298803,0.5509225
YOR20- Unlocking the genetic potential of traditional landraces of pulses for sustainable agriculture in Odisha,0.2692674,0.4564337,0.28951448,0.19273674,0.15554339,0.2760914,0.15556268,0.48111784,0.34905502,0.21792966,0.16440679,0.21218269,0.4064818
YOR19- Sustainable valorization of water hyacinth biomass through aerobic composting as rural enterprise – A waste to wealth initiative,0.3154381,0.27433544,0.42177197,0.34263068,0.26628855,0.29790145,0.24151249,0.28356895,0.28976718,0.3547121,0.31879225,0.30999804,0.45779556
YIT24- Technologies for African Agricultural Transformation Phase II (TAAT II),0.41776967,0.52707034,0.45431364,0.37653223,0.28647628,0.478359,0.31954747,0.43219483,0.4323993,0.41287863,0.40337458,0.4029804,0.52206904
YMF29- Networking4Seed II: Strengthening seed systems through farmer-research networks in a context of agroecological transition in West Africa,0.38240194,0.5682088,0.3651439,0.2822729,0.21933298,0.4205644,0.22765961,0.50632733,0.37157217,0.3562576,0.34826833,0.3728675,0.4957787
YUS169- Evaluation of the Effectiveness of BHA-Supported Agricultural Practices on Crop Productivity in Emergency Food Security and Resilience Activities,0.29854015,0.3852343,0.32194507,0.3108185,0.1688509,0.4683628,0.17232344,0.32667005,0.40420982,0.38057846,0.32881284,0.31057486,0.50338584
YFA84- Development of Rain-fed Cereal Production in Saudi Arabia,0.3235885,0.5447578,0.30134216,0.30376685,0.15829198,0.34004056,0.23244072,0.4611497,0.38959798,0.30601946,0.30469567,0.30114523,0.45989782
YOR18- Innovative gravity-based irrigation system for transforming agri-food systems and reducing water-energy-carbon footprints in tribal landscapes of Odisha,0.23469563,0.2783328,0.33808795,0.30271035,0.1799009,0.24329342,0.23388313,0.26518884,0.40577435,0.35053644,0.29415497,0.29409036,0.4526735
YDB52- Characterization of Chickpea Germplasm Resource to Accelerate Genomics-assisted Corp Improvement,0.25161514,0.45614505,0.24666408,0.25301668,0.14822406,0.26134688,0.2269501,0.5191406,0.3222508,0.18820766,0.2071626,0.24881761,0.3344383
YDB58- Cambridge India Network of Translational Research in Nitrogen-2,0.2827776,0.39273834,0.2734906,0.224136,0.065095834,0.2578016,0.13581637,0.38537043,0.26232594,0.24567007,0.19944054,0.23313534,0.33434522
"YUS165- Enhancing the productivity and resilience of agro-pastoral systems, and income, food and nutrition security through market-oriented innovations in Niger",0.42506087,0.48156214,0.35449407,0.25392532,0.16122785,0.44470975,0.1923524,0.34981593,0.44347462,0.38420138,0.35928243,0.51466936,0.49693462
"YTS12- Groundnut Value Chain Innovations to Enhance Farmer Profitability and Promote Oil, Food and Confectionery Industries in Telangana – PJTSAU and ICRISAT",0.33118615,0.34867316,0.28520158,0.13891403,0.10408637,0.27263817,0.11429508,0.21511102,0.22800215,0.23361568,0.23004816,0.28197095,0.33817357
YZFL01- Digital Agriculture platform for precision Advisories,0.3085402,0.51018125,0.3773208,0.33014658,0.42688912,0.351719,0.21740267,0.49701297,0.31896415,0.31827912,0.2853238,0.32067093,0.53647035
YNRA01- Rejuvenating Watersheds for Agricultural Resilience through Innovative Development Program (REWARD Program),0.34419048,0.40569493,0.51935816,0.4712419,0.42943737,0.45185074,0.3749122,0.44219363,0.48808435,0.52495843,0.52356565,0.43163857,0.5529021
YPEAT2- Improvement Plantix-App-Agricultural Support of Farmers in Telangana and Andhra Pradesh,0.27725878,0.4098331,0.3504117,0.19868267,0.1306154,0.28411734,0.20872322,0.35256454,0.31895357,0.27376547,0.29746157,0.2766823,0.38924658
YLCT01- Technology on Wheels - Improving farmer's livelihoods through mobile soil test based personalized advisories and science-led intervention,0.47660047,0.5207744,0.46010786,0.34733462,0.286306,0.49223968,0.27944595,0.42143112,0.46002313,0.4062136,0.41840917,0.4048464,0.63663566
YUS168- Feed the Future (FtF) Innovation Lab for Food Systems for Nutrition,0.55875295,0.47439647,0.5266065,0.35624477,0.35366094,0.53624386,0.3423309,0.3409454,0.29983443,0.44169605,0.39753392,0.49579102,0.45829007
YMAR02- Identification of Markers and Genomic Regions Associated with Aflotoxin Resistance in Peanut,0.17430276,0.19778901,0.089739904,0.1199029,0.08035819,0.19740462,0.027550595,0.3623709,0.092816606,0.07001267,0.03932762,0.12997948,0.2036615
YOR21- Onion Value Chain Improvements in Odisha State(1) Phase II,0.24130218,0.25034183,0.19564813,0.18328935,0.030994482,0.25067338,0.07716524,0.17349571,0.2202248,0.22663854,0.16207553,0.2505984,0.28463894
YDB50 & 50A- Mainstreaming sesame germplasm for productivity enhancement and sustainability through genomics assisted core development and trait discovery,0.25352445,0.44868463,0.22183783,0.1671217,0.12537253,0.25504914,0.1476686,0.551756,0.23176555,0.17593932,0.16947158,0.20295066,0.3454315
YDS88- Delivering Climate Resilient mungbean crop for Better Nutrition,0.38070223,0.50030845,0.37518477,0.37909466,0.18908583,0.39014456,0.23574369,0.47408563,0.35995704,0.32991326,0.25785038,0.3028793,0.55778086
YRFN01- Empowering Communities for cultivating Kodo and Kutki millets in Madhya Pradesh,0.23533021,0.3099454,0.32196516,0.2834741,0.18614957,0.28768873,0.44289392,0.27054164,0.39186016,0.19295418,0.23080225,0.30186036,0.35131484
"YGCD14- Biodiversity for Opportunities, Livelihoods and Development (BOLD)""Harnessing crop diversity to mitigate the effects of our changing climate"" - Finger Millet component: The finger millet component",0.2523856,0.48187113,0.33672673,0.1931895,0.11496367,0.31140885,0.18762344,0.48612997,0.33304125,0.24436767,0.23804398,0.20637503,0.42928255
YGIP01- Promoting sequestration of carbon and / or reduction of greenhouse gasses (GHG) from agriculture to generate carbon credits,0.46471456,0.5804902,0.5519483,0.5012782,0.27834067,0.4846307,0.3792609,0.50269,0.53181773,0.4911816,0.4449448,0.4740954,0.6293889
YOR15- Increasing Pulses Productivity and Incomes through Science-led Interventions in rice fallows of Odisha,0.3342241,0.37872127,0.33459744,0.17566486,0.15695639,0.3032946,0.15690632,0.24415098,0.2748243,0.27179953,0.23812298,0.27148455,0.46881294
YKSA01- Islamic Development Bank (IsDB) in partnership with the Federal Government of Nigeria (GoN) at the instance of Kano State Government (KNSG),0.23963194,0.28696653,0.29384854,0.2501225,0.27349663,0.33792183,0.20550546,0.32993776,0.2297119,0.34439805,0.33435535,0.31329724,0.32067338
YDRF02- Designing and monitoring of Large-scale soil analysis and undertake applied research - Soil health mapping of smallholder farmers in Central and Southern Indian landscape,0.18864991,0.25887057,0.27254865,0.20582348,0.13484074,0.27930048,0.047697663,0.30408448,0.29661182,0.23613214,0.19184126,0.15719874,0.45426738
"YVIT01- Explore the impact of promising management practices on the yield of sorghum under current and future climate and facilitate adoption of promising management practices by co-creation with policy makers, researchers, extension officers and farmers in Mali",0.4185976,0.49147823,0.44737235,0.426508,0.22512834,0.45407817,0.3232733,0.38855886,0.4887599,0.42718926,0.37942955,0.38008037,0.5101676
Biodiversity for Resilient Ecosystems in Agricultural Landscapes (B-REAL),0.33681524,0.48454612,0.482018,0.39126056,0.29634082,0.44366997,0.2769051,0.46830058,0.58669746,0.4359836,0.44568345,0.38905302,0.5228068
rA-Scientific advisory and technical assistance to the Technical Assistance Manager (IA Lead of O150),0.36239183,0.4167415,0.48587295,0.43977043,0.31790432,0.47858608,0.3483262,0.4003123,0.46280298,0.5019207,0.5209142,0.4044584,0.47224703
SCIENTIFIC AND TECHNICAL SUPPORT TO ASEAN COUNTRIES' SUSTAINABLE AGRICULTURE - 3S,0.46025333,0.50863844,0.45465118,0.49723354,0.28289548,0.5632418,0.33745778,0.43270227,0.512689,0.57962006,0.41998458,0.45921212,0.64300627
UK FCDO - Seed to tree: value  chains and partnerships for resilient restored forests in Malaysia,0.24255791,0.21142884,0.34527662,0.36110774,0.19457044,0.36849666,0.30054852,0.31088072,0.46091637,0.3908087,0.36596626,0.35072798,0.35136116
Rural and sustainable innovation for regional development in conditions of climate variability in the Central RAP-E Region,0.3067827,0.3233226,0.4429931,0.43042165,0.32545072,0.3953383,0.33670834,0.3534301,0.5787872,0.4088888,0.43783137,0.43754345,0.46445504
THE FOOD PLANET PRIZE & THE CURT BERGFORS FOUNDATION Agrobiodiversity Index,0.5719824,0.5160198,0.4680544,0.44351488,0.28798255,0.5413992,0.2949886,0.60101974,0.54485476,0.5457235,0.46324137,0.5142778,0.5421893
Bill & Melinda Gates Foundation(BMGF)-1000 Farms Research Platform,0.30496404,0.66225994,0.38748515,0.29380873,0.22442771,0.33841082,0.22683538,0.55074674,0.38511807,0.25251415,0.25120246,0.2913561,0.45821097
"UNITED KINGDOM - FCDO -iSPARK: Innovation in sustainability, policy, adaptation and resilience in Kenya (IA Lead of D511)",0.43014455,0.49758,0.56432754,0.5806267,0.44104943,0.53281534,0.3915807,0.46379972,0.60521466,0.6225686,0.5741965,0.48668963,0.6426633
"ANONYMOUS DONOR - Fruitful Lands India Phase II: Harnessing Fruit Tree Biodiversity as a Nature-Based Solution for Food Security, Nutrition, Human and Planetary Health",0.5219731,0.51253694,0.53173375,0.4821431,0.37002304,0.5190627,0.4391313,0.5454274,0.63012046,0.5228295,0.5295801,0.5520961,0.60988563
BIOVISION-Supporting agroecological transitions in Vihiga County,0.44331366,0.56577086,0.47878298,0.4701874,0.3486281,0.5373457,0.40089625,0.5746077,0.6275397,0.48859766,0.4769484,0.48913953,0.60759956
"OroVerde (GERMANY- BMU) -Large-scale transformation towards biodiversity-friendly, climate resilient agriculture through risk finance solutions and enabling policy and trade frameworks (BioFInCas)  Phase 2",0.5635383,0.49952573,0.5110551,0.5660733,0.3391968,0.63488626,0.3791313,0.5669897,0.61316735,0.60099643,0.5531132,0.5685061,0.59406006
EC Combating malnutrition in Africa through Diversification of the Food system (HealthyDiets4Africa),0.6921283,0.4551356,0.426537,0.40613624,0.22627059,0.5681724,0.3146292,0.43687227,0.4963077,0.43093193,0.41477776,0.5603189,0.5405335
"FAO - Enabling and scaling Open-Source Seed Systems of Beans, Sorghum and Finger millet for climate change adaptation in Kenya, Uganda and Tanzania",0.41628942,0.5903148,0.4639864,0.4291656,0.2823455,0.5052332,0.34487462,0.5817345,0.50727355,0.45527193,0.4424527,0.44970804,0.5456646
"WCDI(SDC)-Advancing the Humanitarian, Development and Peacebuilding Nexus in Africa’s Seed Sector.( Integrated Seed Sector Development (ISSD) in Africa Programme – Phase 2",0.4372379,0.6273205,0.44948184,0.49042803,0.25222692,0.61087656,0.34852046,0.57833534,0.51724905,0.49769324,0.48517364,0.43832377,0.59401256
WFC IFOAM (IFAD) - Enhancing Knowledge and Capacities of Local Stakeholders to Strengthen Policy Environments Enabling Agroecology in the Himalayas,0.48900637,0.45445004,0.35413122,0.40857902,0.20363544,0.51249677,0.27825275,0.35185462,0.48477036,0.45780227,0.34166116,0.46966448,0.56870484
"IUCN (GEF)-Restoration Challenge Grant Platform for Smallholders and Communities, with Blockchain-Enabled Crowdfunding",0.2824308,0.36841103,0.37377915,0.34289464,0.34667307,0.33958215,0.31213862,0.39504197,0.3894012,0.33130684,0.40820488,0.36814383,0.44073132
CIFOR-ICRAF (EC) -Production durable et résilience pour la prévention de crises alimentaires dans le Paysage de Yangambi  (FORETS-Food),0.41245967,0.47355026,0.3924748,0.3307362,0.21725672,0.46674827,0.22847262,0.43255723,0.483816,0.40307713,0.41601205,0.3990166,0.55552727
BIOVISION (SDC)-Diversity for Resilient Agroforestry Banana Plantations in East Africa (D4RABs),0.29871488,0.42244935,0.330952,0.29047602,0.18723045,0.37996757,0.18744512,0.45484763,0.44794568,0.2986928,0.30749595,0.36116436,0.49348965
"BIOVISION-Piloting an organic food system in Kenya, by connecting vulnerable consumers in Nairobi with small scale producers in Makueni county",0.6178929,0.4262619,0.36188987,0.36009178,0.2380013,0.5499914,0.24191031,0.42575133,0.47309855,0.47010356,0.3673567,0.51156795,0.5401351
"IFAD (EC) Agroecological Transitions for Building Resilient, Inclusive, Agricultural and Food Systems (TRANSITIONS): Private sector incentives and investments",0.5689394,0.50697106,0.47515827,0.40544227,0.31831077,0.5495028,0.3704818,0.4923005,0.5444915,0.5598795,0.55322456,0.501912,0.5528508
